date,Distance_km,Consumption_kWh,Consumption_rate_corrected,Location,ChargingStation,ID,Battery_Capacity_kWh,PowerRating_kW,consumption_factor,VehicleID,ScheduleType,VehicleType,CompanyType
2024-01-01 00:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 01:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 02:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 03:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 04:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 05:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 06:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 07:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 08:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.0,0,typea,renault,distribution
2024-01-01 09:00:00,8.66364369326038,1.322294735587464,0.15262570604284006,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 10:00:00,8.66364369326038,1.3223086206852421,0.15262730872853097,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 11:00:00,8.66364369326038,4.217261952317735,0.48677693839122527,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 12:00:00,8.66364369326038,2.5092352220682086,0.2896281646508838,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 13:00:00,8.66364369326038,1.1375295485713481,0.1312992072211205,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 14:00:00,8.66364369326038,2.1730888799526884,0.2508285147556539,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 15:00:00,8.66364369326038,1.1419446820102621,0.1318088234513388,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 16:00:00,8.66364369326038,1.1402572458486258,0.13161405134142976,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 17:00:00,8.66364369326038,1.792998195591872,0.20695659460080065,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 18:00:00,8.66364369326038,0.981519372713219,0.113291752,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 19:00:00,8.66364369326038,0.981519372713219,0.113291752,0,0,0,0.0,0.0,1.13291752,0,typea,renault,distribution
2024-01-01 20:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-01 21:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-01 22:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-01 23:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 00:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 01:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 02:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 03:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 04:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 05:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 06:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 07:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.13291752,0,typea,renault,distribution
2024-01-02 08:00:00,5.059532850756708,0.6230046466238828,0.12313481600000001,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 09:00:00,5.059532850756708,2.489304809025371,0.49200289482319864,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 10:00:00,5.059532850756708,0.8438156877390809,0.1667773908440735,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 11:00:00,5.059532850756708,1.0179334060907692,0.20119118426882557,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 12:00:00,5.059532850756708,0.6230046466238828,0.12313481600000001,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 13:00:00,5.059532850756708,0.688252281125665,0.1360307960097007,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 14:00:00,5.059532850756708,1.0465816385944766,0.20685341304542554,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 15:00:00,5.059532850756708,0.6230046466238828,0.12313481600000001,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 16:00:00,5.059532850756708,1.2397105725702817,0.24502471060838546,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 17:00:00,5.059532850756708,0.6639285262001215,0.13122328598001373,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 18:00:00,5.059532850756708,0.8089796093112115,0.159892154705591,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 19:00:00,5.059532850756708,0.6634751937644737,0.13113368631755082,0,0,0,0.0,0.0,1.23134816,0,typea,renault,distribution
2024-01-02 20:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-02 21:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-02 22:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-02 23:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 00:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 01:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 02:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 03:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 04:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 05:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 06:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 07:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 08:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 09:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.23134816,0,typea,renault,distribution
2024-01-03 10:00:00,9.944181426330715,1.199634752933589,0.120636853,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 11:00:00,9.944181426330715,2.145537602985178,0.21575809118929717,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 12:00:00,9.944181426330715,1.199634752933589,0.120636853,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 13:00:00,9.944181426330715,1.199634752933589,0.120636853,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 14:00:00,9.944181426330715,2.129130157458431,0.21410813682670862,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 15:00:00,9.944181426330715,3.0105441306493077,0.3027442885020012,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 16:00:00,9.944181426330715,2.09469590191792,0.21064538267287405,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 17:00:00,9.944181426330715,1.7433951167890647,0.1753181123760286,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 18:00:00,9.944181426330715,1.5483941032315554,0.1557085532582539,0,0,0,0.0,0.0,1.20636853,0,typea,renault,distribution
2024-01-03 19:00:00,0.0,0.0,0.0,1,1,0,45.0,80.0,1.20636853,0,typea,renault,distribution
