Category,Description,Value
Slow CS,Chargers number,11.0
Slow CS,Infrastructure Cost,108842.77600495386
Slow CS,Electricity Cost,116557.20261550046
Fast CS 50kW,Chargers number,-0.0
Fast CS 50kW,Infrastructure Cost,-0.0
Fast CS 50kW,Electricity Cost,0.0
Fast CS 150kW,Chargers number,-0.0
Fast CS 150kW,Infrastructure Cost,-0.0
Fast CS 150kW,Electricity Cost,0.0
Fast CS 350kW,Chargers number,-0.0
Fast CS 350kW,Infrastructure Cost,-0.0
Fast CS 350kW,Electricity Cost,0.0
DT,Infrastructure Cost,108842.77600495386
DT,Electricity Cost,116557.20261550245
DT,Chargers number,11.0
DT,Max Power [kW],45.43717217022102
Route CS,Chargers number,2.0
Route CS,Electricity Cost,9441.095226042244
