Date,Hour,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
1,0,0.0,0.02325168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0159638399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0010411199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.00092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0005784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.00092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0010411199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.0,0.00613104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.0,0.0234830399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.0,0.0358608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,0.0,0.0512462399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11,0.0,0.0701020799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,0.0,0.0701020799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13,0.0,0.06570624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14,2.3565699137331504,0.20486928,2.4445745993082477,0.0,21.756713933843404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3565699137331504
1,15,3.6125369382859835,0.2789044799999999,3.747444956728199,0.0,33.35226011488097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6125369382859835
1,16,4.95025986728407,0.42269472,5.135124343655674,0.0,45.70260665853551,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.95025986728407
1,17,19.12727613628926,0.53247504,19.841572755486787,0.0,176.58999752383238,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,19.12727613628926
1,18,22.949644613603418,0.62733264,23.80668528382098,0.0,211.87949902600673,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,22.949644613603418
1,19,31.69925076723723,0.62039184,32.88304021497639,10.032862273858923,156.02005376391227,2.0,0.0,0.0,0.0,8.0,14.8,0.0,0.0,0.0,16.899250767237234
1,20,42.25199974720438,0.5558424,43.829875256436075,22.604635684647306,48.48837940883706,5.0,0.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,5.251999747204373
1,21,55.67681257817632,0.51685824,57.756029645411125,25.62495698432928,99.33878273513051,7.0,0.0,0.0,0.0,4.0,44.91697139203409,0.0,0.0,0.0,10.759841186142225
