Hour,Date,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
0,66795,16869.9896409994,144.48397296,17499.989254148757,7724.580570445594,0.0,2489.0,0.0,0.0,0.0,0.0,16869.9896409994,0.0,0.0,0.0,0.0
1,66795,16743.966768950733,136.66574015999998,17369.260133766325,7332.048457502303,0.0,2460.0,0.0,0.0,0.0,0.0,16743.966768950733,0.0,0.0,0.0,0.0
2,66795,16644.368061083795,133.8487008,17265.941972078628,7139.588368294658,0.0,2475.0,0.0,0.0,0.0,0.0,16644.368061083795,0.0,0.0,0.0,0.0
3,66795,16640.786863805723,135.64463279999998,17262.227037142868,7163.218691144593,0.0,2469.0,0.0,0.0,0.0,0.0,16640.786863805723,0.0,0.0,0.0,0.0
4,66795,16754.798949207652,149.9635032,17380.49683527765,7839.070155449836,0.0,2455.0,0.0,0.0,0.0,0.0,16754.798949207652,0.0,0.0,0.0,0.0
5,66795,17066.61837848923,179.66445887999998,17703.960973536552,9446.55651337917,0.0,2512.0,0.0,0.0,0.0,0.0,17066.61837848923,0.0,0.0,0.0,0.0
6,66795,17490.37169336494,240.07405871999998,18143.53910100098,12693.397927418557,0.0,2566.0,0.0,0.0,0.0,0.0,17490.37169336494,0.0,0.0,0.0,0.0
7,66795,16295.291713838478,287.56324367999997,16903.829578670622,14086.28639854941,357.12328602221527,2392.0,0.0,0.0,0.0,14.0,16256.610045554724,0.0,0.0,0.0,38.68166828375455
8,66795,12457.417011098649,289.3897152,12922.631754251712,11269.026637836434,1135.1999950252257,1804.0,0.0,0.0,0.0,32.0,12334.458270064455,0.0,0.0,0.0,122.95874103419297
9,66795,4655.071224201989,271.45977792,4828.91205830082,3772.069946005585,3976.1666919981567,618.0,0.0,0.0,0.0,73.0,4224.394292619268,0.0,0.0,0.0,430.67693158272164
10,66795,839.7347412066702,252.69416832,871.094129882438,369.2748099819173,3145.770964477695,72.0,0.0,0.0,0.0,69.0,499.00179629020977,0.0,0.0,0.0,340.7329449164604
11,66795,774.5151715272311,234.90628608,803.4389746133103,16.811085410788383,6945.648367834396,3.0,0.0,0.0,0.0,101.0,22.200000000000003,0.0,0.0,0.0,752.3151715272311
12,66795,1182.890614744347,218.1701664,1227.064953054302,0.0,10920.878082183288,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,1182.890614744347
13,66795,1065.1343785818592,210.22387584,1104.9111811015139,0.0,9833.709511803474,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,1065.1343785818592
14,66795,1088.2457737928887,217.25409648,1128.885657461503,0.0,10047.082351407376,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,1088.2457737928887
15,66795,1147.551159559028,236.70372192,1190.405767177415,0.0,10594.611327878994,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,1147.551159559028
16,66795,952.7960080651205,271.25618112,988.3776017273035,0.0,8796.560655373001,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,952.7960080651205
17,66795,674.5767337922069,299.26693632,699.7683960500073,0.0,6227.938724845065,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,674.5767337922069
18,66795,735.7400639712971,303.64588704,763.2158339951216,196.9681983341987,4873.2268358931215,29.0,0.0,0.0,0.0,87.0,207.89841567905344,0.0,0.0,0.0,527.8416482922437
19,66795,4138.103075613515,270.97264944,4292.638045242236,3275.169622708533,3292.814415262947,546.0,0.0,0.0,0.0,74.0,3781.4431771513264,0.0,0.0,0.0,356.65989846218883
20,66795,11411.6056495068,232.63872672,11837.76519658382,8349.814263936189,1692.0313571851646,1630.0,0.0,0.0,0.0,32.0,11228.33393845888,0.0,0.0,0.0,183.27171104792117
21,66795,15414.65895009406,199.51919568,15990.31011420546,9565.89069535344,1055.908402004825,2276.0,0.0,0.0,0.0,35.0,15300.288646775785,0.0,0.0,0.0,114.3703033182754
22,66795,16862.698378186364,169.26135648,17492.42570351283,8937.772346968304,128.28443500168626,2468.0,0.0,0.0,0.0,6.0,16848.80330005809,0.0,0.0,0.0,13.89507812827253
23,66795,16743.26970329082,153.92519615999998,17368.53703660874,8136.170546337716,0.0,2488.0,0.0,0.0,0.0,0.0,16743.26970329082,0.0,0.0,0.0,0.0
