Hour,Date,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
0,66795,57019.06447044631,144.48397296,59148.40712702027,26404.725420482933,0.0,8521.0,0.0,0.0,0.0,0.0,57019.06447044631,0.0,0.0,0.0,0.0
1,66795,57471.62852146529,136.66574015999998,59617.87191023503,25184.055648136975,0.0,8558.0,0.0,0.0,0.0,0.0,57471.62852146529,0.0,0.0,0.0,0.0
2,66795,57303.01540595288,133.8487008,59442.96203937151,24470.330492045323,0.0,8626.0,0.0,0.0,0.0,0.0,57303.01540595288,0.0,0.0,0.0,0.0
3,66795,57158.1935474259,135.64463279999998,59292.73189567136,24807.464697760755,0.0,8560.0,0.0,0.0,0.0,0.0,57158.1935474259,0.0,0.0,0.0,0.0
4,66795,57436.46613647494,149.9635032,59581.39640713318,27162.27909140464,0.0,8602.0,0.0,0.0,0.0,0.0,57436.46613647494,0.0,0.0,0.0,0.0
5,66795,57341.7499241788,179.66445887999998,59483.14307487568,31713.89751455145,0.0,8588.0,0.0,0.0,0.0,0.0,57341.74992417881,0.0,0.0,0.0,0.0
6,66795,57608.42139474065,240.07405871999998,59759.773231060055,41625.0701878584,126.99177825538996,8675.0,0.0,0.0,0.0,2.0,57594.66633021951,0.0,0.0,0.0,13.75506452114561
7,66795,54861.41397211299,287.56324367999997,56910.18046899819,47222.92202573666,1187.2477007839793,8271.0,0.0,0.0,0.0,32.0,54732.81770429774,0.0,0.0,0.0,128.59626781525347
8,66795,39086.60497585028,289.3897152,40546.27072183722,34853.66180472915,3405.15170405983,5721.0,0.0,0.0,0.0,84.0,38717.77730812964,0.0,0.0,0.0,368.82766772063775
9,66795,13934.109592084167,271.45977792,14454.470531207864,11283.936465505125,7165.08022560435,1782.0,0.0,0.0,0.0,161.0,13158.02674517601,0.0,0.0,0.0,776.0828469081564
10,66795,3077.492589106874,252.69416832,3192.41969824367,1136.6768139759492,15104.927576898353,195.0,0.0,0.0,0.0,249.0,1441.4082987551874,0.0,0.0,0.0,1636.0842903516866
11,66795,2345.2566240047286,234.90628608,2432.8388215816703,50.472447369295416,20969.070491329967,10.0,0.0,0.0,0.0,300.0,74.0,0.0,0.0,0.0,2271.2566240047286
12,66795,2666.0850515896077,218.1701664,2765.6483937651537,0.0,24614.27070450987,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,2666.0850515896077
13,66795,3340.686077548947,210.22387584,3465.441989158659,0.0,30842.433703512066,0.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,3340.686077548947
14,66795,3224.953201173653,217.25409648,3345.387138146943,0.0,29773.945529507793,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,3224.953201173653
15,66795,3260.4082884749228,236.70372192,3382.16627435158,0.0,30101.27984172906,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,3260.4082884749228
16,66795,2259.3746760592007,271.25618112,2343.749663961827,0.0,20859.37200926026,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,2259.3746760592007
17,66795,1769.8451154760019,299.26693632,1835.9389164688819,0.0,16339.85635657305,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,1769.8451154760019
18,66795,4392.272319112074,303.64588704,4556.299086215897,2893.1410098257743,12198.468506325162,415.0,0.0,0.0,0.0,246.0,3071.0,0.0,0.0,0.0,1321.2723191120735
19,66795,38029.712034931916,270.97264944,39449.90874993016,31782.856857896888,4952.709256437196,5531.0,0.0,0.0,0.0,104.0,37493.26127951557,0.0,0.0,0.0,536.4507554163433
20,66795,52430.071725186506,232.63872672,54388.04120870091,37825.439146585086,1141.2356262634012,7830.0,0.0,0.0,0.0,31.0,52306.459237128314,0.0,0.0,0.0,123.61248805819311
21,66795,58744.315996449244,199.51919568,60938.08713324735,36198.83116616348,347.95941910570536,8864.0,0.0,0.0,0.0,10.0,58706.626908806786,0.0,0.0,0.0,37.68908764246067
22,66795,57075.32288183976,169.26135648,59206.766474938784,30449.30101845014,0.0,8567.0,0.0,0.0,0.0,0.0,57075.32288183976,0.0,0.0,0.0,0.0
23,66795,57229.005351926426,153.92519615999998,59366.188124406304,27754.000171796615,0.0,8556.0,0.0,0.0,0.0,0.0,57229.005351926426,0.0,0.0,0.0,0.0
