Hour,Date,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
0,365,184.49278653593797,1.5107807999999998,191.38255864724087,280.77241388741896,0.0,29.0,0.0,0.0,0.0,0.0,184.49278653593797,0.0,0.0,0.0,0.0
1,365,184.4927865359378,1.37103936,191.3825586472409,266.0551830375663,0.0,28.0,0.0,0.0,0.0,0.0,184.4927865359378,0.0,0.0,0.0,0.0
2,365,184.49278653593817,1.35125808,191.3825586472409,253.98999473904493,0.0,31.0,0.0,0.0,0.0,0.0,184.49278653593817,0.0,0.0,0.0,0.0
3,365,184.49278653593777,1.3603968,191.38255864724084,256.2713480482357,0.0,28.0,0.0,0.0,0.0,0.0,184.49278653593777,0.0,0.0,0.0,0.0
4,365,184.4927865359381,1.41603888,191.38255864724087,266.582740056473,0.0,29.0,0.0,0.0,0.0,0.0,184.4927865359381,0.0,0.0,0.0,0.0
5,365,184.492786535938,1.58990592,191.38255864724093,296.7765363715509,0.0,29.0,0.0,0.0,0.0,0.0,184.492786535938,0.0,0.0,0.0,0.0
6,365,196.09402517137715,2.33581056,203.41703855952275,367.5984690897344,107.10687121930896,30.0,0.0,0.0,0.0,1.0,184.4927865359378,0.0,0.0,0.0,11.601238635439756
7,365,202.00098545605672,2.53940736,209.54459072205367,453.842437636171,161.64208546583436,32.0,0.0,0.0,0.0,2.0,184.4927865359377,0.0,0.0,0.0,17.508198920119586
8,365,214.53723666239688,3.840576,222.54900068714036,719.3947978880979,277.3813341551055,28.0,0.0,0.0,0.0,3.0,184.49278653593785,0.0,0.0,0.0,30.044450126463104
9,365,151.34209585099606,3.0290808,156.99387536410595,269.1261453579097,529.8513139528706,18.0,0.0,0.0,0.0,7.0,133.20000000000005,0.0,0.0,0.0,57.390636702310914
10,365,97.815861276828,2.89072752,101.4687357643448,50.06757341078915,817.4129911969076,5.0,0.0,0.0,0.0,9.0,37.0,0.0,0.0,0.0,88.53776668694593
11,365,113.78275882461884,2.58359712,118.03190749441792,9.238871136929587,1050.483976700319,1.0,0.0,0.0,0.0,10.0,7.4,0.0,0.0,0.0,113.78275882461884
12,365,129.04506247229605,2.4767088,133.8641726891038,0.0,1191.391136933024,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,129.04506247229605
13,365,198.5720436364985,2.45681184,205.9875971332972,0.0,1833.289614486345,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,198.5720436364985
14,365,201.28392103026368,2.45981952,208.8007479567051,0.0,1858.3266568146755,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,201.28392103026368
15,365,128.86652561437154,2.62524192,133.67896847963854,0.0,1189.7428194687832,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,128.86652561437154
16,365,101.46387971453537,3.03926064,105.25298725574208,0.0,936.7515865761046,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,101.46387971453537
17,365,121.13852540297852,3.00606048,125.66237074997773,0.0,1118.395099674802,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,121.13852540297852
18,365,157.85815237359978,2.9909064,163.75327009709568,76.11688023236643,1184.1260955653925,9.0,0.0,0.0,0.0,11.0,66.6,0.0,0.0,0.0,128.2581523735998
19,365,247.32667672373955,2.38231392,256.5629426594836,339.04665512332633,580.1054177089613,28.0,0.0,0.0,0.0,7.0,184.49278653593797,0.0,0.0,0.0,62.83389018780211
20,365,209.78397938518893,1.91936256,217.61823587675516,335.15703400635715,233.4975273426774,28.0,0.0,0.0,0.0,3.0,184.4927865359375,0.0,0.0,0.0,25.2911928492518
21,365,198.9468070264747,1.7982455999999996,206.37635583659497,320.9988652293993,133.44479498525203,30.0,0.0,0.0,0.0,1.0,184.49278653593777,0.0,0.0,0.0,14.454020490537408
22,365,184.49278653593828,1.6330545599999997,191.38255864724084,286.928648242482,0.0,30.0,0.0,0.0,0.0,0.0,184.49278653593836,0.0,0.0,0.0,0.0
23,365,184.49278653593788,1.469136,191.38255864724087,275.626067732019,0.0,31.0,0.0,0.0,0.0,0.0,184.49278653593788,0.0,0.0,0.0,0.0
