date,Distance_km_Vehicle_0,Distance_km_Vehicle_1,Distance_km_Vehicle_10,Distance_km_Vehicle_11,Distance_km_Vehicle_12,Distance_km_Vehicle_13,Distance_km_Vehicle_14,Distance_km_Vehicle_15,Distance_km_Vehicle_16,Distance_km_Vehicle_17,Distance_km_Vehicle_18,Distance_km_Vehicle_19,Distance_km_Vehicle_2,Distance_km_Vehicle_20,Distance_km_Vehicle_21,Distance_km_Vehicle_22,Distance_km_Vehicle_23,Distance_km_Vehicle_24,Distance_km_Vehicle_3,Distance_km_Vehicle_4,Distance_km_Vehicle_5,Distance_km_Vehicle_6,Distance_km_Vehicle_7,Distance_km_Vehicle_8,Distance_km_Vehicle_9
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,25.648954472209702,0.0,0.0,0.0,0.0,0.0,23.768702615569005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09803656180025,26.623999533609993,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,0.0,0.0,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,0.0,0.0,0.0,0.0,0.0,22.09803656180025,26.623999533609993,0.0,0.0,33.23100401625349,0.0,32.0,0.0
2023-01-01 09:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,0.0,32.0,31.50882512161589
2023-01-01 10:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 11:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 12:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 13:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 14:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 15:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 16:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 17:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,33.23100401625349,32.0561803399048,32.0,31.50882512161589
2023-01-01 18:00:00,35.55555555555556,31.728413245355792,25.648954472209702,29.94652223238676,26.150101666794214,31.151339917424753,26.337090402504383,38.531228278472774,23.768702615569005,32.624306809237034,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,26.623999533609993,34.15036254893406,32.0,0.0,32.0561803399048,32.0,31.50882512161589
2023-01-01 19:00:00,35.55555555555556,0.0,25.648954472209702,29.94652223238676,26.150101666794214,0.0,0.0,0.0,23.768702615569005,0.0,28.07017543859649,26.617248240720947,28.81480125871422,29.91762703975637,36.36363636363637,31.462929419260465,28.88279874967249,22.09803656180025,0.0,34.15036254893406,32.0,0.0,0.0,32.0,31.50882512161589
2023-01-01 20:00:00,0.0,0.0,25.648954472209702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07017543859649,0.0,28.81480125871422,0.0,0.0,0.0,0.0,0.0,0.0,34.15036254893406,32.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07017543859649,0.0,28.81480125871422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
