date,Consumption_kWh_Vehicle_0,Consumption_kWh_Vehicle_1,Consumption_kWh_Vehicle_10,Consumption_kWh_Vehicle_11,Consumption_kWh_Vehicle_12,Consumption_kWh_Vehicle_13,Consumption_kWh_Vehicle_14,Consumption_kWh_Vehicle_15,Consumption_kWh_Vehicle_16,Consumption_kWh_Vehicle_17,Consumption_kWh_Vehicle_18,Consumption_kWh_Vehicle_19,Consumption_kWh_Vehicle_2,Consumption_kWh_Vehicle_20,Consumption_kWh_Vehicle_21,Consumption_kWh_Vehicle_22,Consumption_kWh_Vehicle_23,Consumption_kWh_Vehicle_24,Consumption_kWh_Vehicle_25,Consumption_kWh_Vehicle_26,Consumption_kWh_Vehicle_27,Consumption_kWh_Vehicle_28,Consumption_kWh_Vehicle_29,Consumption_kWh_Vehicle_3,Consumption_kWh_Vehicle_4,Consumption_kWh_Vehicle_5,Consumption_kWh_Vehicle_6,Consumption_kWh_Vehicle_7,Consumption_kWh_Vehicle_8,Consumption_kWh_Vehicle_9
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,2.780459938070648,0.0,0.0,0.0,0.0,0.0,1.1604097574362837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6696467909179786,0.0,0.0,0.0,0.0,0.0,1.9802664721118255,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,1.662224301934737,1.9478425484893835,1.2471270176151312,2.5799328407073836,4.87679207405484,0.0,0.0,1.040882735131493,3.0490417960312497,4.395790108700709,2.3770493316249945,0.0,0.0,0.0,0.0,0.0,1.6275565983283404,5.682715286297642,4.903907362354768,1.4868776862216655,5.645207773347252,1.3972115178283058,1.8582184325578632,0.0,0.0,1.236300279393719,0.0,5.398846206618969,0.0
2023-01-01 09:00:00,1.9459328578084192,2.3362383750478437,1.3087997058334557,4.750191312713441,1.7120870911291126,1.129394773640915,1.5758270277244084,2.9251051447533136,0.8058258823194125,2.0357841191322517,2.4720757502130186,2.09472905670055,1.4687752040487163,1.4216045689543175,6.538114485791177,2.4292667804177803,4.105238282123335,3.3526717364803393,4.863383101562541,4.523202281313586,2.1451206001545216,3.666578856944547,2.215449821693286,3.2067829091957756,1.2087110516562614,1.287218335856408,1.2074161207364817,0.0,2.987030157691048,1.8852259762087775
2023-01-01 10:00:00,1.9459532915795552,2.4282410204347316,2.0504913092007357,1.7858755909324229,2.081358219579777,1.129394773640915,1.603312983748315,3.2499369283230135,1.4806748044650322,1.196046242808232,1.2822193016811811,4.258993899858981,2.576144259470229,2.500693347577677,1.8677492396098272,4.930473154925509,0.9986616561143451,1.3640805866223402,7.968555337797213,4.267020607984252,2.029758889820786,4.022754738810164,1.4246524954296873,3.138001020623254,4.064214246361973,2.5665515894164947,2.7048334626868598,1.4781604534163812,1.3923220041701232,1.8721201862561656
2023-01-01 11:00:00,6.206262781008811,1.163119748023012,0.9439181629757809,1.6198446289967143,4.049698081046147,1.466189067037649,3.8674194656383496,2.005595581120345,1.5840626136513667,2.3746432815278857,2.3543650573557473,1.8076349549187682,1.5299548961930602,3.6870096150223466,3.4718930822088203,4.930473154925509,3.6891062024487375,1.8140566716138506,4.658053034188632,1.784035071701579,1.1190073057896281,2.1106231902403287,2.4377604924319827,1.9119772612279688,2.065158683378559,1.287218335856408,4.007414052216239,2.1399219775445846,1.3923220041701232,1.1525474080409714
2023-01-01 12:00:00,3.6926739063386043,1.6912638979098304,2.189022862151385,4.750191312713441,1.480802272177138,1.129394773640915,2.0810975418240476,5.605106789216333,1.2819971634784126,5.382208092637043,2.755816355320188,0.9464430888575515,2.7170636208232177,2.1721592030494663,6.647242408537092,3.156940304730822,1.8400306351488882,2.369136113412709,7.9351680108434355,3.4241575077974664,1.314372638327244,2.418675267512608,1.8061244100678993,0.9314283166476909,2.4573086499554697,1.3562200887579987,1.517188472976828,1.031437056112015,1.3923220041701232,3.7095978973188903
2023-01-01 13:00:00,1.6740262709353788,2.1991318011997913,2.1409867327197714,1.0555980694918756,4.049698081046147,1.129394773640915,1.028997451752065,1.3273017907727096,1.8545386698744573,1.2885611392193757,2.4545448624666193,1.7815416423596417,3.3611157640125824,2.998392902881941,4.620769352174962,4.173350187848948,2.499918227839353,1.739618289330172,6.510464492751009,4.872757844101724,1.4357319396938664,2.401093427262551,2.1587643193524326,0.9471055465249054,1.2087110516562614,2.6104886305886303,1.2074161207364817,3.697628716833176,1.7459622259393526,1.3556802431488588
2023-01-01 14:00:00,3.197989782935443,1.163119748023012,1.4882176694433324,1.4189060816540748,2.316322826206581,1.129394773640915,1.717039797943362,5.972858058477193,0.8533206189735164,2.863765923856618,1.4475867962410591,0.9464430888575515,4.960223053733695,1.0481694965708077,1.6809204772309736,1.9180555119996132,3.628767681898657,0.944362335460279,2.572256102513065,1.722454818591103,3.190582302132196,5.3544280496541194,2.531424135423469,2.400846750199352,2.7460643248104484,3.7211703808153365,2.7427707450210894,2.396774148900013,3.237164206098988,2.3431956669669582
2023-01-01 15:00:00,1.6805237279690968,1.2343562976966185,1.4501873833878245,1.3069278999085723,2.523413897623673,2.309617249346259,0.8594265479196334,2.045021122669598,0.8586951526901406,1.196046242808232,1.137076213458604,1.4424454504408242,1.5216788493209172,1.3264594843561692,2.6836861634830003,1.6076906235143622,1.461766237372919,2.856206472186483,3.079973416502203,1.3392773790556027,2.1697041318872667,5.311422497512807,4.022340104514983,2.815596840326995,2.008264934599013,3.250253223947265,2.0719719431600843,1.2356878526154391,2.3832866710513376,1.1525474080409714
2023-01-01 16:00:00,1.6780404408591898,2.376119262584768,2.6991136637394417,3.395174332222238,1.1989456345932656,5.082276481384117,1.6572445308502746,1.6290149658227626,0.8058258823194125,2.0926800434703625,1.8497121381408659,1.3172532121035216,1.102271789718599,4.6729752870615044,3.2105418450970964,1.9979915561148314,1.9096834296107381,1.7249726926036577,3.576022335488953,4.124615382189725,3.190582302132196,5.930422761001534,4.134448166434827,2.275218726864662,2.6716338363992542,3.11702923871439,1.9678044707371942,4.641466752504067,1.528157308478497,2.667515374341176
